namespace,action,decision,scope
microsoft.directory,microsoft.directory/devices/disable,conditional,/
microsoft.directory,microsoft.directory/devices/enable,notAllowed,/
microsoft.directory,microsoft.directory/devices/extensionAttributeSet1/update,notAllowed,/
microsoft.directory,microsoft.directory/devices/extensionAttributeSet2/update,notAllowed,/
microsoft.directory,microsoft.directory/devices/extensionAttributeSet3/update,notAllowed,/
microsoft.directory,microsoft.directory/devices/memberOf/read,allowed,/
microsoft.directory,microsoft.directory/devices/permissions/update,notAllowed,/
microsoft.directory,microsoft.directory/devices/registeredOwners/read,allowed,/
microsoft.directory,microsoft.directory/devices/registeredOwners/update,notAllowed,/
microsoft.directory,microsoft.directory/devices/registeredOwners/update,notAllowed,/
microsoft.directory,microsoft.directory/devices/registeredUsers/read,allowed,/
microsoft.directory,microsoft.directory/devices/registeredUsers/update,notAllowed,/
microsoft.directory,microsoft.directory/devices/registeredUsers/update,notAllowed,/
microsoft.directory,microsoft.directory/devices/standard/read,allowed,/
microsoft.directory,microsoft.directory/deviceTemplates/createDeviceFromTemplate,notAllowed,/
microsoft.directory,microsoft.directory/deviceTemplates/create,notAllowed,/
microsoft.directory,microsoft.directory/deviceTemplates/delete,notAllowed,/
microsoft.directory,microsoft.directory/deviceTemplates/deviceInstances/read,notAllowed,/
microsoft.directory,microsoft.directory/deviceTemplates/owners/read,notAllowed,/
microsoft.directory,microsoft.directory/deviceTemplates/owners/update,notAllowed,/
microsoft.directory,microsoft.directory/deviceTemplates/owners/update,notAllowed,/
microsoft.directory,microsoft.directory/deviceTemplates/standard/read,notAllowed,/
microsoft.directory,microsoft.directory/directoryRoles/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/directoryRoles/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/directoryRoles/basic/update,notAllowed,/
microsoft.directory,microsoft.directory/directoryRoles/eligibleMembers/read,allowed,/
microsoft.directory,microsoft.directory/directoryRoles/members/read,allowed,/
microsoft.directory,microsoft.directory/directoryRoles/standard/read,allowed,/
microsoft.directory,microsoft.directory/directoryRoleTemplates/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/directoryRoleTemplates/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/directorySync/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/domains/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/domains/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/domains/federationConfiguration/basic/update,notAllowed,/
microsoft.directory,microsoft.directory/domains/federationConfiguration/create,notAllowed,/
microsoft.directory,microsoft.directory/domains/federationConfiguration/delete,notAllowed,/
microsoft.directory,microsoft.directory/domains/federationConfiguration/standard/read,notAllowed,/
microsoft.directory,microsoft.directory/domains/federation/update,notAllowed,/
microsoft.directory,microsoft.directory/domains/standard/read,allowed,/
microsoft.directory,microsoft.directory/entitlementManagement/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/entitlementManagement/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/externalUserProfiles/basic/update,notAllowed,/
microsoft.directory,microsoft.directory/externalUserProfiles/delete,notAllowed,/
microsoft.directory,microsoft.directory/externalUserProfiles/standard/read,notAllowed,/
microsoft.directory,microsoft.directory/federatedAuthentication/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/groups.security.assignedMembership/allProperties/update,invalidAction,/
microsoft.directory,microsoft.directory/groups.security.assignedMembership/basic/update,conditional,/
microsoft.directory,microsoft.directory/groups.security.assignedMembership/classification/update,conditional,/
microsoft.directory,microsoft.directory/groups.security.assignedMembership/createAsOwner,allowed,/
microsoft.directory,microsoft.directory/groups.security.assignedMembership/create,notAllowed,/
microsoft.directory,microsoft.directory/groups.security.assignedMembership/delete,conditional,/
microsoft.directory,microsoft.directory/groups.security.assignedMembership/members/update.add,conditional,/
microsoft.directory,microsoft.directory/groups.security.assignedMembership/members/update.remove,conditional,/
microsoft.directory,microsoft.directory/groups.security.assignedMembership/members/update,conditional,/
microsoft.directory,microsoft.directory/groups.security.assignedMembership/members/update,conditional,/
microsoft.directory,microsoft.directory/groups.security.assignedMembership/owners/update.add,conditional,/
microsoft.directory,microsoft.directory/groups.security.assignedMembership/owners/update.remove,conditional,/
microsoft.directory,microsoft.directory/groups.security.assignedMembership/owners/update,conditional,/
microsoft.directory,microsoft.directory/groups.security.assignedMembership/owners/update,conditional,/
microsoft.directory,microsoft.directory/groups.security.assignedMembership/visibility/update,conditional,/
microsoft.directory,microsoft.directory/groups.security/allProperties/update,invalidAction,/
microsoft.directory,microsoft.directory/groups.security/assignedLabels/update,conditional,/
microsoft.directory,microsoft.directory/groups.security/assignedLabels/update,conditional,/
microsoft.directory,microsoft.directory/groups.security/basic/update,conditional,/
microsoft.directory,microsoft.directory/groups.security/classification/update,conditional,/
microsoft.directory,microsoft.directory/groups.security/createAsOwner,allowed,/
microsoft.directory,microsoft.directory/groups.security/create,notAllowed,/
microsoft.directory,microsoft.directory/groups.security/delete,conditional,/
microsoft.directory,microsoft.directory/groups.security/dynamicMembershipRule/update,notAllowed,/
microsoft.directory,microsoft.directory/groups.security/members/update.add,conditional,/
microsoft.directory,microsoft.directory/groups.security/members/update.remove,conditional,/
microsoft.directory,microsoft.directory/groups.security/members/update,conditional,/
microsoft.directory,microsoft.directory/groups.security/members/update,conditional,/
microsoft.directory,microsoft.directory/groups.security/owners/update.add,conditional,/
microsoft.directory,microsoft.directory/groups.security/owners/update.remove,conditional,/
microsoft.directory,microsoft.directory/groups.security/owners/update,conditional,/
microsoft.directory,microsoft.directory/groups.security/owners/update,conditional,/
microsoft.directory,microsoft.directory/groups.security/visibility/update,conditional,/
microsoft.directory,microsoft.directory/groups.unified.assignedMembership/allProperties/update,invalidAction,/
microsoft.directory,microsoft.directory/groups.unified.assignedMembership/basic/update,conditional,/
microsoft.directory,microsoft.directory/groups.unified.assignedMembership/classification/update,conditional,/
microsoft.directory,microsoft.directory/groups.unified.assignedMembership/createAsOwner,allowed,/
microsoft.directory,microsoft.directory/groups.unified.assignedMembership/create,notAllowed,/
microsoft.directory,microsoft.directory/groups.unified.assignedMembership/delete,conditional,/
microsoft.directory,microsoft.directory/groups.unified.assignedMembership/members/update.add,conditional,/
microsoft.directory,microsoft.directory/groups.unified.assignedMembership/members/update.remove,conditional,/
microsoft.directory,microsoft.directory/groups.unified.assignedMembership/members/update,conditional,/
microsoft.directory,microsoft.directory/groups.unified.assignedMembership/members/update,conditional,/
microsoft.directory,microsoft.directory/groups.unified.assignedMembership/owners/update.add,conditional,/
microsoft.directory,microsoft.directory/groups.unified.assignedMembership/owners/update.remove,conditional,/
microsoft.directory,microsoft.directory/groups.unified.assignedMembership/owners/update,conditional,/
microsoft.directory,microsoft.directory/groups.unified.assignedMembership/owners/update,conditional,/
microsoft.directory,microsoft.directory/groups.unified.assignedMembership/visibility/update,conditional,/
microsoft.directory,microsoft.directory/groups.unified/allProperties/update,invalidAction,/
microsoft.directory,microsoft.directory/groups.unified/appRoleAssignments/update,notAllowed,/
microsoft.directory,microsoft.directory/groups.unified/assignedLabels/update,conditional,/
microsoft.directory,microsoft.directory/groups.unified/assignedLabels/update,conditional,/
microsoft.directory,microsoft.directory/groups.unified/basic/update,conditional,/
microsoft.directory,microsoft.directory/groups.unified/classification/update,conditional,/
microsoft.directory,microsoft.directory/groups.unified/createAsOwner,allowed,/
microsoft.directory,microsoft.directory/groups.unified/create,notAllowed,/
microsoft.directory,microsoft.directory/groups.unified/delete,conditional,/
microsoft.directory,microsoft.directory/groups.unified/dynamicMembershipRule/update,notAllowed,/
